,dataset,shot,a_type,a_init,combined_way,train_mode,spearman,zeroshot_sr,num_mutations
195,BLAT_ECOLX_Jacquier_2013,64,single,0.1,logits,a,0.6991536276754271,0.7355721635689093,198
196,BLAT_ECOLX_Jacquier_2013,64,context-specific,-1.0,logits,a,0.726132698429264,0.7355721635689093,198
197,BLAT_ECOLX_Jacquier_2013,96,position-specific,-1.0,logits,a,0.7733220991294728,0.7355721635689093,198
198,BLAT_ECOLX_Jacquier_2013,96,context-specific,0.1,scores,a,0.7264972483381076,0.7355721635689093,198
199,BLAT_ECOLX_Jacquier_2013,64,context-specific,-1.0,scores,full,0.7331273016802513,0.7355721635689093,198
200,A0A192B1T2_9HIV1_Haddox_2018,64,position-specific,-1.0,logits,full,0.5880146743310645,0.520518226156075,2520
201,A0A192B1T2_9HIV1_Haddox_2018,96,position-specific,-1.0,logits,full,0.6153972672676931,0.520518226156075,2520
202,A0A192B1T2_9HIV1_Haddox_2018,64,single,-1.0,scores,a,0.5887160558331248,0.520518226156075,2520
203,A0A192B1T2_9HIV1_Haddox_2018,64,single,0.1,logits,full,0.48609680120533744,0.520518226156075,2520
204,A0A192B1T2_9HIV1_Haddox_2018,96,context-specific,-1.0,scores,a,0.5319339235743371,0.520518226156075,2520
205,A0A192B1T2_9HIV1_Haddox_2018,64,context-specific,0.1,logits,full,0.531387502714373,0.520518226156075,2520
206,A0A192B1T2_9HIV1_Haddox_2018,64,position-specific,-1.0,logits,a,0.5887352334807835,0.520518226156075,2520
207,A0A192B1T2_9HIV1_Haddox_2018,96,context-specific,0.1,logits,full,0.5318793833192127,0.520518226156075,2520
208,A0A192B1T2_9HIV1_Haddox_2018,96,single,0.1,logits,full,0.48609680120533744,0.520518226156075,2520
209,A0A192B1T2_9HIV1_Haddox_2018,64,position-specific,0.1,scores,full,0.4861356823445936,0.520518226156075,2520
210,A0A192B1T2_9HIV1_Haddox_2018,64,context-specific,0.1,scores,a,0.5319339235743371,0.520518226156075,2520
211,A0A192B1T2_9HIV1_Haddox_2018,64,position-specific,0.1,logits,full,0.48599635373229155,0.520518226156075,2520
212,A0A192B1T2_9HIV1_Haddox_2018,96,none,0.1,scores,full,0.49265634050009033,0.520518226156075,2520
213,A0A192B1T2_9HIV1_Haddox_2018,64,single,0.1,scores,a,0.486256749353291,0.520518226156075,2520
214,A0A192B1T2_9HIV1_Haddox_2018,64,single,-1.0,scores,full,0.5884647352913325,0.520518226156075,2520
215,A0A192B1T2_9HIV1_Haddox_2018,96,single,0.1,scores,full,0.5520889173977005,0.520518226156075,2520
216,A0A192B1T2_9HIV1_Haddox_2018,96,context-specific,-1.0,logits,a,0.531889935337115,0.520518226156075,2520
217,A0A192B1T2_9HIV1_Haddox_2018,64,single,0.1,scores,full,0.4860971710785738,0.520518226156075,2520
218,A0A192B1T2_9HIV1_Haddox_2018,96,single,-1.0,scores,full,0.6068824082041414,0.520518226156075,2520
219,A0A192B1T2_9HIV1_Haddox_2018,64,context-specific,0.1,logits,a,0.531889935337115,0.520518226156075,2520
220,A0A192B1T2_9HIV1_Haddox_2018,64,context-specific,-1.0,logits,full,0.531387502714373,0.520518226156075,2520
221,A0A192B1T2_9HIV1_Haddox_2018,96,position-specific,0.1,scores,full,0.5524515837742217,0.520518226156075,2520
222,A0A192B1T2_9HIV1_Haddox_2018,96,context-specific,-1.0,logits,full,0.5318793833192127,0.520518226156075,2520
223,A0A192B1T2_9HIV1_Haddox_2018,64,context-specific,0.1,scores,full,0.5314566049588123,0.520518226156075,2520
224,A0A192B1T2_9HIV1_Haddox_2018,64,none,0.1,scores,full,0.49265634050009033,0.520518226156075,2520
225,A0A192B1T2_9HIV1_Haddox_2018,96,single,-1.0,logits,full,0.5570216745755091,0.520518226156075,2520
226,A0A192B1T2_9HIV1_Haddox_2018,64,context-specific,-1.0,scores,a,0.5319339235743371,0.520518226156075,2520
227,A0A192B1T2_9HIV1_Haddox_2018,96,position-specific,-1.0,scores,full,0.6071788545194803,0.520518226156075,2520
228,A0A192B1T2_9HIV1_Haddox_2018,64,single,-1.0,logits,a,0.5887772818323949,0.520518226156075,2520
229,A0A192B1T2_9HIV1_Haddox_2018,64,position-specific,-1.0,scores,a,0.5887551632371655,0.520518226156075,2520
230,A0A192B1T2_9HIV1_Haddox_2018,96,context-specific,0.1,scores,full,0.5320334463799111,0.520518226156075,2520
231,A0A192B1T2_9HIV1_Haddox_2018,96,single,0.1,scores,a,0.486256749353291,0.520518226156075,2520
232,A0A192B1T2_9HIV1_Haddox_2018,96,position-specific,-1.0,scores,a,0.5887551632371655,0.520518226156075,2520
233,A0A192B1T2_9HIV1_Haddox_2018,64,position-specific,0.1,logits,a,0.4860013540768993,0.520518226156075,2520
234,A0A192B1T2_9HIV1_Haddox_2018,64,position-specific,0.1,scores,a,0.4861336104837732,0.520518226156075,2520
235,A0A192B1T2_9HIV1_Haddox_2018,96,position-specific,0.1,logits,full,0.5504618055354096,0.520518226156075,2520
236,A0A192B1T2_9HIV1_Haddox_2018,64,position-specific,-1.0,scores,full,0.5887638593536816,0.520518226156075,2520
237,A0A192B1T2_9HIV1_Haddox_2018,96,single,-1.0,scores,a,0.5887160558331248,0.520518226156075,2520
238,A0A192B1T2_9HIV1_Haddox_2018,96,context-specific,0.1,logits,a,0.531889935337115,0.520518226156075,2520
239,A0A192B1T2_9HIV1_Haddox_2018,64,single,-1.0,logits,full,0.5570216745755091,0.520518226156075,2520
